p_useful,p_noise,p_total,rho_A0,rho_A,rho_HN,rho_EBT,tau2,w_mean,var_HN,var_A0,seed,n_builds
0,0,0,0.4186664666616666,0.3594524863121578,0.4186664666616666,0.4186664666616666,,1.0,0.035061882672339666,0.035061882672339666,0,200
0,2,2,0.4186664666616666,0.3594524863121578,0.37506637665941656,0.37506637665941656,0.01319654060096739,0.38497849923124944,0.00586362390392579,0.035061882672339666,0,200
0,6,6,0.4186664666616666,0.3594524863121578,0.40429310732768325,0.40429310732768325,0.012871142861978224,0.3790843172973969,0.0059878856519805556,0.035061882672339666,0,200
0,12,12,0.4186664666616666,0.3594524863121578,0.4161494037350934,0.4161494037350934,0.012777256377308945,0.3773626192927874,0.006024182665896336,0.035061882672339666,0,200
1,0,1,0.4186664666616666,0.3594524863121578,0.5457781444536114,0.5457781444536114,0.008825429331906737,0.29509052645680256,0.007758651365141431,0.035061882672339666,0,200
1,2,3,0.4186664666616666,0.3594524863121578,0.4943148578714469,0.4943148578714469,0.012069249412232277,0.3640650740648742,0.006304522878228012,0.035061882672339666,0,200
1,6,7,0.4186664666616666,0.3594524863121578,0.5508317707942699,0.5508317707942699,0.010932299929487788,0.34148067989198283,0.006780649392505282,0.035061882672339666,0,200
1,12,13,0.4186664666616666,0.3594524863121578,0.5765079126978174,0.5765079126978174,0.008690883542836338,0.29190500112844736,0.007825808936831005,0.035061882672339666,0,200
2,0,2,0.4186664666616666,0.3594524863121578,0.6305287632190806,0.6305287632190806,0.007236483979763654,0.25553831822865986,0.008592495075602296,0.035061882672339666,0,200
2,2,4,0.4186664666616666,0.3594524863121578,0.6261066526663168,0.6261066526663168,0.008845075280149137,0.2955532702245365,0.007748895753569657,0.035061882672339666,0,200
2,6,8,0.4186664666616666,0.3594524863121578,0.5866466661666542,0.5866466661666542,0.009351678415748868,0.3072795464442354,0.007501681195623289,0.035061882672339666,0,200
2,12,14,0.4186664666616666,0.3594524863121578,0.6002775069376735,0.6002775069376735,0.006313897366456923,0.23046785599003664,0.009121033131820064,0.035061882672339666,0,200
4,0,4,0.4186664666616666,0.3594524863121578,0.6481392034800871,0.6481392034800871,0.006204554048460362,0.22738418036318986,0.0091860434976564,0.035061882672339666,0,200
4,2,6,0.4186664666616666,0.3594524863121578,0.6687272181804547,0.6687272181804547,0.009029148211038143,0.29985961987363596,0.007658108848594973,0.035061882672339666,0,200
4,6,10,0.4186664666616666,0.3594524863121578,0.645067126678167,0.645067126678167,0.00650948405536117,0.2359227885437107,0.009006031684248949,0.035061882672339666,0,200
