probe_opp,estimator,rho_vs_probe,ci_lo,ci_hi,n_valid
condor_Attack,A0,0.3376454736323565,0.2655191416814058,0.417677755632562,450
condor_Attack,A,0.32007691557842954,0.2506096232495174,0.406675659705378,450
condor_Attack,H1,0.31921635581701985,0.22675965376839152,0.3984110003580767,450
condor_Attack,HN,0.4147516150629842,0.32513658606740187,0.4915348215156615,450
condor_Attack,HP,0.4147516150629842,0.3200766717239384,0.497717079147815,450
condor_Attack,IV,0.41446581714421443,0.32389072686836773,0.502345115797031,450
condor_Attack,FA,0.23314375814926436,0.15600744306762887,0.3263119885995443,450
condor_Attack,EBT,0.4147242446198203,0.31414290317139215,0.49266154986439076,450
sunder_Support,A0,-0.025032003452489047,-0.1308688949295912,0.07520134359828333,398
sunder_Support,A,-0.024975193556376563,-0.1335872967113368,0.07412158540535575,398
sunder_Support,H1,-0.02402248397308082,-0.12679754943563964,0.061399896816238995,398
sunder_Support,HN,0.028680704817069105,-0.10445826889267165,0.1252417505673544,398
sunder_Support,HP,0.028680704817069105,-0.0748033194962134,0.12262305555371614,398
sunder_Support,IV,-0.00812105090417348,-0.11098797401008831,0.0836207667143908,398
sunder_Support,FA,0.0373157137075488,-0.07254529603488087,0.15899962219992972,398
sunder_Support,EBT,0.028653067871838536,-0.08346386343898977,0.12262970115725406,398
mule_Fighter_Support,A0,0.41276513073456783,0.30225499262346284,0.49162524312730377,392
mule_Fighter_Support,A,0.3974719659985692,0.31458532301593134,0.4950396894395242,392
mule_Fighter_Support,H1,0.4150801521356226,0.3058235636933598,0.5176391828881075,392
mule_Fighter_Support,HN,0.3630766094306865,0.25986253402698833,0.4593896025748113,392
mule_Fighter_Support,HP,0.3630766094306865,0.26505181652479276,0.4621120344643377,392
mule_Fighter_Support,IV,0.4161158738749839,0.3208071100952555,0.5036905953290962,392
mule_Fighter_Support,FA,0.13982655936937693,0.04191679851899229,0.2536868167533509,392
mule_Fighter_Support,EBT,0.363105155691073,0.2726038942424733,0.46005387684663296,392
phantom_Elite,A0,,,,325
phantom_Elite,A,,,,325
phantom_Elite,H1,,,,325
phantom_Elite,HN,,,,325
phantom_Elite,HP,,,,325
phantom_Elite,IV,,,,325
phantom_Elite,FA,,,,325
phantom_Elite,EBT,,,,325
mule_Starting,A0,0.35940292241697086,0.27272957578180856,0.44668503133979726,304
mule_Starting,A,0.3368903468466186,0.2272296763802229,0.4472539315474445,304
mule_Starting,H1,0.37503142288830954,0.26482813407757383,0.45368373361417386,304
mule_Starting,HN,0.39211041782192374,0.26051874176345574,0.48671106058338454,304
mule_Starting,HP,0.39211041782192374,0.27924047274653735,0.49514190620401227,304
mule_Starting,IV,0.38554771642402824,0.2629970324634971,0.47738310249658417,304
mule_Starting,FA,0.23965295997657068,0.11784246266432426,0.3504841841739505,304
mule_Starting,EBT,0.39211041782192374,0.2898798306717991,0.5046584603241978,304
