seed,n_obs,A0_wall,A_wall,H1_wall,H1_tau2,H1_w_mean,HN_wall,HN_tau2,HN_w_mean,HP_wall,HP_n_selected,IV_wall,FA_wall,EBT_wall,rho_A0,exploit_rho_A0,rho_A,exploit_rho_A,rho_H1,exploit_rho_H1,rho_HN,exploit_rho_HN,rho_HP,exploit_rho_HP,rho_IV,exploit_rho_IV,rho_FA,exploit_rho_FA,rho_EBT,exploit_rho_EBT,var_A0,var_A,var_H1,var_HN,var_HP,var_IV,var_FA,var_EBT,top10_A0,top10_A,top10_H1,top10_HN,top10_HP,top10_IV,top10_FA,top10_EBT,total_wall
0,3680,0.08520865440368652,0.07611632347106934,0.07007503509521484,0.0131228031679274,0.386333714118749,0.07199311256408691,0.006671506193526702,0.24245707868595898,0.1877739429473877,8,0.08119010925292969,0.09417009353637695,0.00011014938354492188,0.32040668706651526,0.26360623319338733,0.27544129842435733,0.21453138620479348,0.36971715677351064,0.31493797917135125,0.6913463418486809,0.6692544871538183,0.6913463418486809,0.6692544871538183,0.4941815162731653,0.4609756999097487,0.7733827726264468,0.752199452331595,0.6913463418486809,0.6692544871538183,0.03486199159187882,0.03396753296010245,0.0059642399192910475,0.008963309508294848,0.008963309508294848,0.01625369278797842,0.7324025966017114,0.03486199159187882,0.2,0.1,0.3,0.5,0.5,0.3,0.5,0.5,0.7355468273162842
1,3680,0.0699777603149414,0.06958150863647461,0.0715949535369873,0.01962833790204973,0.4855411702417406,0.07926702499389648,0.008446322518941975,0.28882560048068656,0.19198822975158691,8,0.0795905590057373,0.08402776718139648,7.319450378417969e-05,0.44022329069398974,0.3173545913429529,0.38129127766813736,0.24445326839152334,0.4898388431224675,0.38136508215422676,0.7591705410005173,0.7032423086374164,0.7591705410005173,0.7032423086374164,0.6025227234857351,0.5162702296804023,0.8129358926571141,0.7655907018630044,0.7591705410005173,0.7032423086374164,0.042071070445623464,0.04042569220706288,0.011175744393422123,0.015266907795055289,0.015266907795055289,0.022814586270615375,0.861610602043944,0.042071070445623464,0.0,0.0,0.0,0.3,0.3,0.1,0.8,0.3,0.6983942985534668
2,3680,0.08025288581848145,0.09432625770568848,0.07957720756530762,0.021211606399559976,0.5062096136440671,0.0799715518951416,0.009510100812973089,0.3148903760698496,0.17275285720825195,8,0.08006715774536133,0.08311581611633301,7.605552673339844e-05,0.47692279167786344,0.3571312393603416,0.40609929467379025,0.2777977119772786,0.5058733841692167,0.39210147036772425,0.779505135117694,0.7226768278161468,0.779505135117694,0.7226768278161468,0.637510197516381,0.5593455231845326,0.8271175437734711,0.7690254293350269,0.779505135117694,0.7226768278161468,0.04589283444613102,0.041902812249777946,0.014727541276644348,0.018686167004399217,0.018686167004399217,0.026327309494225463,0.8156885033258711,0.04589283444613101,0.2,0.2,0.2,0.4,0.4,0.3,0.3,0.4,0.7242839336395264
3,3680,0.07212591171264648,0.0774235725402832,0.08485627174377441,0.010460842443134895,0.33778998469965943,0.08670544624328613,0.0035268765589764883,0.14674216074784185,0.18805480003356934,8,0.07154703140258789,0.08911681175231934,0.00011014938354492188,0.3164550591720821,0.22682053671881247,0.25474166452362307,0.15899136276453932,0.40140867792992585,0.3217163848792159,0.7652264450615127,0.7236035906045286,0.7652264450615127,0.7236035906045286,0.5071789552156866,0.4420400488505243,0.8000528296362219,0.7600295988940388,0.7652264450615127,0.7236035906045286,0.032168812955757915,0.030968480171003263,0.004733900593566741,0.008651840155868179,0.00865184015586818,0.015132133024557218,0.7903442790662506,0.032168812955757915,0.0,0.0,0.0,0.3,0.3,0.2,0.2,0.3,0.7161762714385986
4,3680,0.06904101371765137,0.07117867469787598,0.06941390037536621,0.01840252087628848,0.4730252770343156,0.07076668739318848,0.007284929596584208,0.26217709088186364,0.17272639274597168,8,0.07170987129211426,0.07931184768676758,6.0558319091796875e-05,0.42553694077398074,0.3139724735473289,0.3501940297213658,0.22395583804967564,0.4717426459894264,0.37107358149836217,0.7671961188276734,0.7129105955954134,0.7671961188276734,0.7129105955954134,0.5940938200402025,0.5186720590207651,0.8073141355154816,0.7582792999383835,0.7671961188276734,0.7129105955954134,0.04187303109860879,0.03890388478109482,0.011674003853150107,0.015996679246129873,0.015996679246129873,0.0232874103181779,0.8347372472025414,0.04187303109860879,0.2,0.2,0.3,0.4,0.4,0.3,0.4,0.4,0.6538307666778564
5,3680,0.07867097854614258,0.07968258857727051,0.10822272300720215,0.013075635180808242,0.38138780903651714,0.07898283004760742,0.005997027830013029,0.22043238159139347,0.18468308448791504,8,0.07295513153076172,0.08544421195983887,8.511543273925781e-05,0.3635285766434255,0.2699994064606593,0.3130367842595616,0.2083769060073068,0.4130646679052977,0.3298724415093214,0.7604669619732568,0.7178297578326698,0.7604669619732568,0.7178297578326698,0.5447282090994112,0.4758722978793594,0.8159602328164024,0.7785691635653417,0.7604669619732568,0.7178297578326698,0.03559991965562139,0.03428435537528225,0.006302452133708392,0.009716110758173987,0.009716110758173987,0.016984933527383304,0.7992526458185119,0.03559991965562139,0.0,0.0,0.1,0.5,0.5,0.1,0.5,0.5,0.7349939346313477
6,3680,0.07993674278259277,0.07541751861572266,0.07826852798461914,0.01594940345246663,0.4432276611093399,0.07648944854736328,0.007709112728780845,0.277862091982601,0.17440271377563477,8,0.07524752616882324,0.07398056983947754,7.081031799316406e-05,0.4131448514461451,0.32419357119338743,0.3422613973799968,0.2490926767903173,0.47238387352479144,0.3854373634275989,0.7295144296662728,0.6861902431891909,0.7295144296662728,0.6861902431891909,0.560112131745651,0.4918262830910568,0.7931765492278783,0.7522916349749034,0.7295144296662728,0.6861902431891909,0.037878457970993276,0.035984675262702256,0.008962999496617042,0.01227614362212558,0.01227614362212558,0.019488975424662634,0.8209321024770434,0.037878457970993276,0.1,0.1,0.2,0.3,0.3,0.2,0.3,0.3,0.6808109283447266
7,3680,0.0762629508972168,0.07649731636047363,0.09250640869140625,0.017289491232692793,0.46568993199571873,0.09766983985900879,0.00818193446222262,0.292013176639199,0.19720792770385742,8,0.07861566543579102,0.08302593231201172,6.985664367675781e-05,0.3890329624182393,0.26488928298708864,0.3081205459608204,0.15768231200176985,0.4398772734321349,0.3345276090290262,0.7299620609048171,0.6609016625748227,0.7299620609048171,0.6609016625748227,0.5600832367759764,0.4704004316070191,0.8064068334676949,0.7441121746930129,0.7299620609048171,0.6609016625748227,0.04056493992068953,0.037126615897832525,0.011489866019250294,0.01493511346669455,0.01493511346669455,0.022150596529105945,0.8221530000213957,0.04056493992068953,0.1,0.0,0.3,0.4,0.4,0.2,0.4,0.4,0.7456228733062744
8,3680,0.0765385627746582,0.07795476913452148,0.07890677452087402,0.01921655372698169,0.495023088016973,0.07228994369506836,0.01089255668775142,0.35718555360860504,0.17474770545959473,8,0.07271647453308105,0.07928895950317383,6.198883056640625e-05,0.4334999128335082,0.34056461908139907,0.37140799408231023,0.27314577083195896,0.4645499656631444,0.3733504228045822,0.7144392016127247,0.6619617343659565,0.7144392016127247,0.6619617343659565,0.5786448837121946,0.5118666177877864,0.8192357184204468,0.7755483401017889,0.7144392016127247,0.6619617343659565,0.04112793390935347,0.03881951002318262,0.011821061653145394,0.01452308481612873,0.01452308481612873,0.02193191286742265,0.789047740567168,0.04112793390935347,0.0,0.0,0.2,0.3,0.3,0.3,0.4,0.3,0.6774916648864746
9,3680,0.07017707824707031,0.07419991493225098,0.07251667976379395,0.02115957973039682,0.508731560553241,0.0750572681427002,0.008078859433633692,0.2833484658789005,0.17071175575256348,8,0.07052326202392578,0.07698225975036621,5.4836273193359375e-05,0.43637038727927857,0.30002756251241913,0.33851492377025416,0.1759734659182768,0.49703971035682404,0.3733363673463283,0.7732813994411714,0.7109607636596466,0.7732813994411714,0.7109607636596466,0.6199283308435503,0.530084446695027,0.8210669371235829,0.7691782026820391,0.7732813994411714,0.7109607636596466,0.04477633928861528,0.04159281902500009,0.01394806628051069,0.018553372986949694,0.018553372986949698,0.02593955068034095,0.8037362670184119,0.04477633928861528,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.6580667495727539
