strategy,seed,rho_truth,rho_alpha_truth,exploit_spread_rho,ceiling_pct,top5_overlap,top10_overlap,top25_overlap,elapsed_s,pred_p10,pred_p50,pred_p90
A0_pre5d,0,0.4956601851957983,0.5128052533917044,0.4228699195322241,0.25333333333333335,0.0,0.2,0.28,0.07707834243774414,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,0,0.7757005059259712,0.7865842953810597,0.7514561948046227,0.25333333333333335,0.0,0.0,0.28,0.15666985511779785,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,0,0.7534328159201767,0.7534328159201767,0.7171527739246764,0.0033333333333333335,0.6,0.6,0.48,0.14941978454589844,0.270242380383414,0.48602792979991166,0.6791906287955753
H_cat_5d,0,0.7707397434055699,0.7761837353748374,0.7552686669488154,0.25333333333333335,0.0,0.1,0.28,0.15868735313415527,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,0,0.7482234247047188,0.7482234247047188,0.7366494664225341,0.0033333333333333335,0.8,0.5,0.44,0.5926744937896729,0.2642286986782549,0.4821370038895926,0.6813385196711389
J_boxcox_cat_5d,0,0.7831829242547138,0.7831829242547138,0.751341187494991,0.0033333333333333335,0.2,0.7,0.48,0.16893696784973145,0.36406791777177594,0.5709511548955104,0.8003829131533289
K_full_5d,0,0.6405848953877264,0.6405848953877264,0.6193962036163667,0.0033333333333333335,0.4,0.4,0.44,0.5931496620178223,0.2457333897128902,0.5071655674078218,0.7110624982093974
A0_pre5d,1,0.4270382828004271,0.42854431715907954,0.29892161515655125,0.25333333333333335,0.0,0.0,0.16,0.0772256851196289,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,1,0.7573704872928222,0.7662805142279357,0.6983164129411028,0.25333333333333335,0.0,0.1,0.24,0.13410425186157227,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,1,0.756360404004489,0.756360404004489,0.69170737433884,0.0033333333333333335,0.2,0.6,0.56,0.1463015079498291,0.2551024045377502,0.44645503802871317,0.6373750301375823
H_cat_5d,1,0.8033825062944325,0.8135388170979676,0.7628673235512298,0.25333333333333335,0.0,0.0,0.24,0.15625786781311035,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,1,0.668066089623218,0.668066089623218,0.5887353338246515,0.0033333333333333335,0.6,0.5,0.4,0.6033174991607666,0.2781639320818665,0.4935832154044435,0.7205208982021138
J_boxcox_cat_5d,1,0.7441104901165569,0.7441104901165569,0.6784561302819426,0.0033333333333333335,0.4,0.5,0.52,0.16745233535766602,0.25885884632470924,0.4969423442774198,0.7098765029355284
K_full_5d,1,0.7780690896565516,0.7780690896565516,0.7198351257752935,0.0033333333333333335,0.6,0.6,0.48,0.5936050415039062,0.23320515990880264,0.4826080932339306,0.6849935970976636
A0_pre5d,2,0.48848824136859775,0.4959335103723374,0.4476553728953282,0.25333333333333335,0.2,0.2,0.24,0.07824158668518066,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,2,0.6741633919165303,0.6884738719319102,0.6337209945014978,0.25333333333333335,0.0,0.1,0.32,0.13434553146362305,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,2,0.7159759552883921,0.7159759552883921,0.6697581370128851,0.0033333333333333335,0.4,0.4,0.32,0.14569735527038574,0.2575866238749066,0.518116841578451,0.743854268365607
H_cat_5d,2,0.7191676194987483,0.7308481205346726,0.6744596261663746,0.25333333333333335,0.2,0.2,0.36,0.15790390968322754,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,2,0.5713223480260892,0.5713223480260892,0.5092946733066024,0.0033333333333333335,0.2,0.2,0.28,0.6271824836730957,0.30514278530744327,0.5316416902484613,0.7521300639300635
J_boxcox_cat_5d,2,0.7205484505383393,0.7205484505383393,0.6757637590787803,0.0033333333333333335,0.4,0.3,0.4,0.17025184631347656,0.3169435862035539,0.5431979712082089,0.7543470144754184
K_full_5d,2,0.6654238380426449,0.6654238380426449,0.6167138025998488,0.006666666666666667,0.4,0.4,0.48,0.615572452545166,0.3306276909927416,0.5329740119490233,0.7846243759824638
A0_pre5d,3,0.46282473653088463,0.46277269747441635,0.3805481666684349,0.25333333333333335,0.0,0.0,0.12,0.08253693580627441,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,3,0.7187049495829981,0.7224102490027667,0.6692302595296324,0.25333333333333335,0.0,0.0,0.16,0.1379680633544922,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,3,0.6897218857987311,0.6897218857987311,0.6197408249952221,0.0033333333333333335,0.4,0.4,0.4,0.1452653408050537,0.27894121882832357,0.52613559562154,0.7549289743571234
H_cat_5d,3,0.7154738779824964,0.7230307003411149,0.6556350190541439,0.25333333333333335,0.0,0.0,0.2,0.15549826622009277,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,3,0.6375257502861142,0.6375257502861142,0.5773265025553767,0.006666666666666667,0.2,0.3,0.36,0.6005301475524902,0.28571655277130314,0.5150852998812185,0.7295001473412609
J_boxcox_cat_5d,3,0.7380886454293937,0.7380886454293937,0.6859482019888167,0.0033333333333333335,0.4,0.4,0.28,0.15877604484558105,0.2670714725355821,0.5059451938301136,0.7518339907650449
K_full_5d,3,0.5658027311414571,0.5658027311414571,0.5065101999297194,0.0033333333333333335,0.4,0.3,0.36,0.5914444923400879,0.2512912060755821,0.4805243393147619,0.7021904898164107
A0_pre5d,4,0.43769963159997444,0.4556841742686029,0.34096057669579977,0.25333333333333335,0.0,0.0,0.12,0.08019661903381348,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,4,0.7158009956953271,0.7275458616206847,0.6692587656691494,0.25333333333333335,0.0,0.0,0.2,0.1421506404876709,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,4,0.6975099723330258,0.6975099723330258,0.655445819164074,0.0033333333333333335,0.6,0.3,0.28,0.14956045150756836,0.2519372524867381,0.4593287881458082,0.651669332121473
H_cat_5d,4,0.7304885810014283,0.7366281847576085,0.6821171484242949,0.25333333333333335,0.0,0.0,0.2,0.1554858684539795,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,4,0.5922514694607718,0.5922514694607718,0.5256698743458024,0.0033333333333333335,0.0,0.1,0.24,0.5979819297790527,0.29214749432373044,0.47797540060803384,0.6650989409930024
J_boxcox_cat_5d,4,0.6571575239724886,0.6571575239724886,0.6061470467645853,0.006666666666666667,0.6,0.4,0.36,0.1664278507232666,0.2557556157634621,0.5223200177160912,0.7494426373800661
K_full_5d,4,0.5906207846753853,0.5906207846753853,0.5250174854689723,0.0033333333333333335,0.2,0.2,0.32,0.6152498722076416,0.24656113512434893,0.465519069110335,0.6690769184160053
A0_pre5d,5,0.49777793630653555,0.5019775775286391,0.3228014021577389,0.25333333333333335,0.0,0.2,0.2,0.07820701599121094,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,5,0.7569438899467744,0.776066400737786,0.6781941612014109,0.25333333333333335,0.0,0.0,0.2,0.14086365699768066,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,5,0.7307276747519417,0.7307276747519417,0.648277759160701,0.0033333333333333335,0.4,0.4,0.48,0.14664340019226074,0.23712231523078808,0.4768480894059659,0.6808308060918293
H_cat_5d,5,0.7140961746837318,0.7215004611162346,0.6213592939709786,0.25333333333333335,0.0,0.0,0.2,0.15368342399597168,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,5,0.7115634618162424,0.7115634618162424,0.6175718963647444,0.006666666666666667,0.4,0.3,0.36,0.6016032695770264,0.29285855237817915,0.4803815351252262,0.6692299830663734
J_boxcox_cat_5d,5,0.7666578517539083,0.7666578517539083,0.6931142030117444,0.0033333333333333335,0.4,0.3,0.48,0.17847967147827148,0.24860773909705172,0.47848668724590426,0.6906365645680382
K_full_5d,5,0.7157763975155279,0.7157763975155279,0.6251533709955327,0.0033333333333333335,0.2,0.2,0.44,0.6267101764678955,0.2106734833583987,0.5184988395566796,0.7817930474202234
A0_pre5d,6,0.5707639474762337,0.5820926899187767,0.5246399930103726,0.25333333333333335,0.0,0.0,0.12,0.07905101776123047,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,6,0.7247201065942087,0.7361072900810008,0.6735058375499146,0.25333333333333335,0.0,0.0,0.12,0.14467382431030273,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,6,0.7686738741541572,0.7686738741541572,0.7217355519280099,0.0033333333333333335,0.4,0.5,0.52,0.1630721092224121,0.3056370141464268,0.4935001985749333,0.6961788189441726
H_cat_5d,6,0.7605529393428551,0.7701418904654496,0.7101967214137438,0.25333333333333335,0.0,0.0,0.2,0.19278240203857422,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,6,0.6865578506427849,0.6865578506427849,0.6349396653817838,0.0033333333333333335,0.6,0.3,0.28,0.6499989032745361,0.29716607134446676,0.5338899476231116,0.7626553286975908
J_boxcox_cat_5d,6,0.7513727930310335,0.7513727930310335,0.7045842726085251,0.006666666666666667,0.2,0.4,0.56,0.18015170097351074,0.31931502692528235,0.5021327315070362,0.7185136823823078
K_full_5d,6,0.6682598695541061,0.6682598695541061,0.6093029777881421,0.0033333333333333335,0.2,0.2,0.44,0.6514394283294678,0.25411446350985173,0.4647282574870848,0.6365862333361815
A0_pre5d,7,0.39344553422498746,0.4027066967410749,0.2956337397036746,0.25333333333333335,0.0,0.1,0.16,0.08155250549316406,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,7,0.7197586719141235,0.7316241291569906,0.668714662334185,0.25333333333333335,0.0,0.2,0.36,0.14043426513671875,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,7,0.6735523728041423,0.6735523728041423,0.6165166220640673,0.0033333333333333335,0.4,0.3,0.28,0.147874116897583,0.2553138975623323,0.4930857733476546,0.7372286612495773
H_cat_5d,7,0.747166431131554,0.7597795531061455,0.6964899109500018,0.25333333333333335,0.2,0.2,0.28,0.16077280044555664,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,7,0.6694749941666018,0.6694749941666018,0.6100098441704281,0.0033333333333333335,0.2,0.2,0.44,0.612271785736084,0.25516817132484737,0.47958388021046255,0.704403915646764
J_boxcox_cat_5d,7,0.7354201713352371,0.7354201713352371,0.6908924651990346,0.0033333333333333335,0.6,0.3,0.36,0.16535186767578125,0.2625122172482481,0.47095563737252255,0.6611574253433987
K_full_5d,7,0.7592826586962077,0.7592826586962077,0.7156496058685841,0.0033333333333333335,0.4,0.5,0.44,0.6147181987762451,0.3007256417420645,0.5245857844042738,0.7669085003105086
A0_pre5d,8,0.4065253135672027,0.41430904787830974,0.3591457116626758,0.25333333333333335,0.0,0.1,0.16,0.07800889015197754,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,8,0.6787325093944466,0.6911174568606318,0.6321613066045436,0.25333333333333335,0.0,0.1,0.12,0.13715386390686035,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,8,0.7632129245880509,0.7632129245880509,0.7348953046007707,0.0033333333333333335,0.4,0.5,0.52,0.14382219314575195,0.2746118104137454,0.45895899116221683,0.6264445608689924
H_cat_5d,8,0.686702754872891,0.6915841287125412,0.6546902857336979,0.25333333333333335,0.0,0.0,0.24,0.1503889560699463,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,8,0.5877487527639196,0.5877487527639196,0.5322702127106977,0.0033333333333333335,0.0,0.2,0.32,0.5898199081420898,0.3775536848909419,0.5758488702173512,0.7866490787209501
J_boxcox_cat_5d,8,0.7045380504227824,0.7045380504227824,0.6685554711151812,0.0033333333333333335,0.4,0.4,0.56,0.18506145477294922,0.2568717697693809,0.5145642884397933,0.7236076867101426
K_full_5d,8,0.6046187179857554,0.6046187179857554,0.5597480264101385,0.006666666666666667,0.0,0.0,0.32,0.7432847023010254,0.3391509647950855,0.5588217432876799,0.7874744363369954
A0_pre5d,9,0.4368878867550526,0.454712163468483,0.3481183915730212,0.25333333333333335,0.0,0.1,0.2,0.0758509635925293,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,9,0.7112692951064813,0.7248178313092367,0.6495050115150596,0.25333333333333335,0.0,0.0,0.2,0.13408327102661133,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,9,0.7498794431049233,0.7498794431049233,0.6994479972582163,0.0033333333333333335,0.6,0.5,0.56,0.1448678970336914,0.3286255629353302,0.5320597147372735,0.7262446446066654
H_cat_5d,9,0.7400634956985672,0.7598444427160302,0.6841083396812053,0.25333333333333335,0.0,0.0,0.24,0.15282249450683594,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,9,0.6537948199424438,0.6537948199424438,0.5888415234400637,0.0033333333333333335,0.4,0.3,0.6,0.5832638740539551,0.3243746842354848,0.5436966727173076,0.7407658972821521
J_boxcox_cat_5d,9,0.6700892232135912,0.6700892232135912,0.6240501104734681,0.0033333333333333335,0.4,0.3,0.4,0.16409611701965332,0.27007957309763625,0.4948259155423146,0.6922864173157166
K_full_5d,9,0.6637015966844075,0.6637015966844075,0.5950461217614503,0.0033333333333333335,0.6,0.4,0.52,0.5834050178527832,0.2863391483877388,0.5116092839263715,0.7366656756278529
A0_pre5d,10,0.43865857941567005,0.4485943177146412,0.32548710304147194,0.25333333333333335,0.0,0.0,0.2,0.07589125633239746,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,10,0.7337310793165563,0.7432464805164501,0.6683320245588515,0.25333333333333335,0.0,0.0,0.2,0.1351761817932129,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,10,0.7485292058800653,0.7485292058800653,0.6788238911800883,0.0033333333333333335,0.6,0.6,0.4,0.14814472198486328,0.2573940750251926,0.5100773476607678,0.7247770301217235
H_cat_5d,10,0.7591198948967828,0.7626298069978555,0.697001520281535,0.25333333333333335,0.2,0.1,0.32,0.15833783149719238,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,10,0.6604611162346248,0.6604611162346248,0.5752894146588525,0.0033333333333333335,0.2,0.4,0.44,0.5957770347595215,0.3103297132387495,0.5563954987312656,0.796195324173502
J_boxcox_cat_5d,10,0.7655249502772252,0.7655249502772252,0.7000042206304415,0.0033333333333333335,0.6,0.4,0.48,0.161482572555542,0.31008282895779843,0.5030326700480992,0.741086671419289
K_full_5d,10,0.6725541394904387,0.6725541394904387,0.5991697416974169,0.006666666666666667,0.4,0.4,0.32,0.5716722011566162,0.3107798013351576,0.5330714179149973,0.7787482234093301
A0_pre5d,11,0.5055386920168314,0.5097278858653985,0.384443317479723,0.25333333333333335,0.2,0.1,0.08,0.07688379287719727,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,11,0.736450413344383,0.751179901998911,0.6487977209904705,0.25333333333333335,0.2,0.2,0.16,0.1349484920501709,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,11,0.736817075745286,0.736817075745286,0.6616253235633259,0.0033333333333333335,0.4,0.4,0.44,0.14269518852233887,0.2722590391498434,0.4689973282841568,0.6869856244008428
H_cat_5d,11,0.7944539851599765,0.8058911765686285,0.7230784097758512,0.25333333333333335,0.2,0.1,0.16,0.15579438209533691,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,11,0.6928161424015821,0.6928161424015821,0.5893496542061252,0.0033333333333333335,0.0,0.1,0.44,0.5880646705627441,0.2126027445387551,0.4853294869705638,0.706011317094352
J_boxcox_cat_5d,11,0.767905865620729,0.767905865620729,0.6869483591612286,0.0033333333333333335,0.4,0.4,0.56,0.16382336616516113,0.2430685352873872,0.4647295553224819,0.6877130800676078
K_full_5d,11,0.5908941210457894,0.5908941210457894,0.44383323262521,0.0033333333333333335,0.2,0.3,0.36,0.5829291343688965,0.24989347954757873,0.5246373942646876,0.7417572046899821
A0_pre5d,12,0.3545319695918046,0.3699867776308626,0.2885145078062316,0.25333333333333335,0.0,0.0,0.12,0.07816815376281738,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,12,0.7651599218162978,0.7659307325636951,0.7455838836480038,0.25333333333333335,0.0,0.0,0.24,0.13636279106140137,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,12,0.7453482816475738,0.7453482816475738,0.721668385506909,0.006666666666666667,0.6,0.5,0.44,0.14617466926574707,0.27617241581611246,0.5287956926608727,0.7838193315158818
H_cat_5d,12,0.6756829209085977,0.6766092956588406,0.665461150659716,0.25333333333333335,0.0,0.0,0.28,0.1517946720123291,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,12,0.6318007977866421,0.6318007977866421,0.6350821935058125,0.0033333333333333335,0.4,0.3,0.36,0.5941190719604492,0.2587241625420925,0.4827405209645511,0.7100326853850534
J_boxcox_cat_5d,12,0.8067711863465149,0.8067711863465149,0.7890273702063088,0.0033333333333333335,0.6,0.4,0.52,0.15991973876953125,0.24674053434585236,0.4498611060790014,0.6421906341909328
K_full_5d,12,0.621907798975544,0.621907798975544,0.5794689182145527,0.0033333333333333335,0.4,0.3,0.24,0.5838687419891357,0.26177357569007753,0.5177418632318931,0.7270291394869974
A0_pre5d,13,0.43137595329385425,0.4489103212257914,0.3559420239758589,0.25333333333333335,0.0,0.0,0.16,0.07856440544128418,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,13,0.7692258157442018,0.7879291992133245,0.7317660195931673,0.25333333333333335,0.0,0.0,0.28,0.13536834716796875,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,13,0.7572030800342225,0.7572030800342225,0.7110149683937159,0.0033333333333333335,0.4,0.4,0.56,0.15189385414123535,0.3338679734389859,0.55144897050179,0.7695151216426919
H_cat_5d,13,0.7030563999821494,0.7199519994666608,0.6506215345797917,0.25333333333333335,0.0,0.0,0.28,0.15866827964782715,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,13,0.6092383248702764,0.6092383248702764,0.5383359255718383,0.0033333333333333335,0.2,0.5,0.32,0.5816490650177002,0.28016947776816287,0.5061573440946856,0.7311243322458424
J_boxcox_cat_5d,13,0.7630751452793919,0.7630751452793919,0.717407571238995,0.0033333333333333335,0.4,0.6,0.48,0.16440272331237793,0.23969846248570975,0.3853686936930796,0.5251539142269771
K_full_5d,13,0.6353155035055944,0.6353155035055944,0.5610193918465776,0.006666666666666667,0.2,0.2,0.52,0.5873785018920898,0.3078138937093406,0.5638559433853696,0.7909457370102905
